Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to Region value or percentiles,Time period Sortable,New data,Compared to goal,Time period range
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),,,E92000001,England,England,Not applicable,Not applicable,,,2018,9.52457,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E92000001,England,E12000007,London region,Region,Not applicable,Not applicable,,,2018,12.25982,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000001,City of London,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,13.14501,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000002,Barking and Dagenham,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,13.03776,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000003,Barnet,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,11.72918,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000004,Bexley,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,11.82662,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000005,Brent,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.12933,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000006,Bromley,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,10.95531,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000007,Camden,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.50713,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000008,Croydon,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,11.65974,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000009,Ealing,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.13366,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000010,Enfield,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.11011,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000011,Greenwich,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.3659,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000012,Hackney,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.89776,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000013,Hammersmith and Fulham,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.66143,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000014,Haringey,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.54185,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000015,Harrow,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,11.28651,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000016,Havering,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,11.45028,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000017,Hillingdon,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,11.38363,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000018,Hounslow,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,11.91267,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000019,Islington,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.94337,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000020,Kensington and Chelsea,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.97434,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000021,Kingston upon Thames,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,11.54362,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000022,Lambeth,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.7253,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000023,Lewisham,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.35767,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000024,Merton,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.29259,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000025,Newham,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,13.49116,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000026,Redbridge,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.66836,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000027,Richmond upon Thames,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,11.58543,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000028,Southwark,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.68513,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000029,Sutton,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,11.45467,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000030,Tower Hamlets,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.89541,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000031,Waltham Forest,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,13.06011,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000032,Wandsworth,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.37002,,,,,,,,,Not compared,Not compared,20180000,,,1y
93867,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),E12000007,London region,E09000033,Westminster,Counties & UAs (from Apr 2021),Not applicable,Not applicable,,,2018,12.94992,,,,,,,,,Not compared,Not compared,20180000,,,1y
