C2021_ETH_20_NAME,C2021_ETH_20_CODE,Ethnic Group,Ethnic Subgroup
"Asian, Asian British or Asian Welsh: Bangladeshi",_1,Asian,Bangladeshi
"Asian, Asian British or Asian Welsh: Chinese",_2,Asian,Chinese
"Asian, Asian British or Asian Welsh: Indian",_3,Asian,Indian
"Asian, Asian British or Asian Welsh: Other Asian",_5,Asian,Other Asian
"Asian, Asian British or Asian Welsh: Pakistani",_4,Asian,Pakistani
"Black, Black British, Black Welsh, Caribbean or African: African",_6,Black,African
"Black, Black British, Black Welsh, Caribbean or African: Caribbean",_7,Black,Caribbean
"Black, Black British, Black Welsh, Caribbean or African: Other Black",_8,Black,Other Black
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,_12,Mixed,Other Mixed
Mixed or Multiple ethnic groups: White and Asian,_9,Mixed,White and Asian
Mixed or Multiple ethnic groups: White and Black African,_10,Mixed,White and Black African
Mixed or Multiple ethnic groups: White and Black Caribbean,_11,Mixed,White and Black Caribbean
Other ethnic group: Any other ethnic group,_19,Other,Any other ethnic group
Other ethnic group: Arab,_18,Other,Arab
"White: English, Welsh, Scottish, Northern Irish or British",_13,White,British
White: Gypsy or Irish Traveller,_15,White,Gypsy or Irish Traveller
White: Irish,_14,White,Irish
White: Other White,_17,White,Other White
White: Roma,_16,White,Roma
