ward_name,oa21cd,MSOA21CD,MSOA21NM
Bethnal Green East,E00021143,E02000865,Tower Hamlets 002
Bethnal Green East,E00021147,E02000865,Tower Hamlets 002
Bethnal Green East,E00021173,E02000865,Tower Hamlets 002
Bethnal Green East,E00021179,E02000876,Tower Hamlets 013
Bethnal Green East,E00021185,E02000874,Tower Hamlets 011
Bethnal Green East,E00021187,E02000874,Tower Hamlets 011
Bethnal Green East,E00021188,E02000874,Tower Hamlets 011
Bethnal Green East,E00021189,E02000876,Tower Hamlets 013
Bethnal Green East,E00021190,E02000876,Tower Hamlets 013
Bethnal Green East,E00021195,E02000874,Tower Hamlets 011
Bethnal Green East,E00021196,E02000874,Tower Hamlets 011
Bethnal Green East,E00021198,E02000874,Tower Hamlets 011
Bethnal Green East,E00021199,E02000874,Tower Hamlets 011
Bethnal Green East,E00021201,E02000874,Tower Hamlets 011
Bethnal Green East,E00021202,E02000874,Tower Hamlets 011
Bethnal Green East,E00021205,E02000874,Tower Hamlets 011
Bethnal Green East,E00021206,E02000874,Tower Hamlets 011
Bethnal Green East,E00021208,E02000874,Tower Hamlets 011
Bethnal Green East,E00021209,E02000874,Tower Hamlets 011
Bethnal Green East,E00021210,E02000874,Tower Hamlets 011
Bethnal Green East,E00021211,E02000874,Tower Hamlets 011
Bethnal Green East,E00021212,E02000874,Tower Hamlets 011
Bethnal Green East,E00021214,E02000874,Tower Hamlets 011
Bethnal Green East,E00021215,E02000876,Tower Hamlets 013
Bethnal Green East,E00021441,E02000870,Tower Hamlets 007
Bethnal Green East,E00021442,E02000870,Tower Hamlets 007
Bethnal Green East,E00021443,E02000870,Tower Hamlets 007
Bethnal Green East,E00021444,E02000873,Tower Hamlets 010
Bethnal Green East,E00021447,E02000873,Tower Hamlets 010
Bethnal Green East,E00021448,E02000873,Tower Hamlets 010
Bethnal Green East,E00021449,E02000870,Tower Hamlets 007
Bethnal Green East,E00021450,E02000870,Tower Hamlets 007
Bethnal Green East,E00021451,E02000873,Tower Hamlets 010
Bethnal Green East,E00021452,E02000873,Tower Hamlets 010
Bethnal Green East,E00021453,E02000870,Tower Hamlets 007
Bethnal Green East,E00021454,E02000870,Tower Hamlets 007
Bethnal Green East,E00021455,E02000873,Tower Hamlets 010
Bethnal Green East,E00021458,E02000870,Tower Hamlets 007
Bethnal Green East,E00021459,E02000870,Tower Hamlets 007
Bethnal Green East,E00021460,E02000870,Tower Hamlets 007
Bethnal Green East,E00021461,E02000870,Tower Hamlets 007
Bethnal Green East,E00021462,E02000870,Tower Hamlets 007
Bethnal Green East,E00021463,E02000870,Tower Hamlets 007
Bethnal Green East,E00021464,E02000870,Tower Hamlets 007
Bethnal Green East,E00021465,E02000870,Tower Hamlets 007
Bethnal Green East,E00021468,E02000870,Tower Hamlets 007
Bethnal Green East,E00021469,E02000870,Tower Hamlets 007
Bethnal Green East,E00021470,E02000873,Tower Hamlets 010
Bethnal Green East,E00021471,E02000870,Tower Hamlets 007
Bethnal Green East,E00167204,E02000873,Tower Hamlets 010
Bethnal Green East,E00167205,E02000873,Tower Hamlets 010
Bethnal Green East,E00167206,E02000870,Tower Hamlets 007
Bethnal Green East,E00167207,E02000870,Tower Hamlets 007
Bethnal Green East,E00167210,E02000873,Tower Hamlets 010
Bethnal Green East,E00183729,E02000873,Tower Hamlets 010
Bethnal Green East,E00183842,E02000873,Tower Hamlets 010
Bethnal Green East,E00183892,E02000873,Tower Hamlets 010
Bethnal Green East,E00183922,E02000873,Tower Hamlets 010
Bethnal Green East,E00183933,E02000873,Tower Hamlets 010
Bethnal Green East,E00184017,E02000873,Tower Hamlets 010
Bethnal Green East,E00184102,E02000873,Tower Hamlets 010
Bethnal Green East,E00184134,E02000873,Tower Hamlets 010
Bethnal Green West,E00021141,E02000865,Tower Hamlets 002
Bethnal Green West,E00021145,E02000865,Tower Hamlets 002
Bethnal Green West,E00021146,E02000868,Tower Hamlets 005
Bethnal Green West,E00021148,E02000865,Tower Hamlets 002
Bethnal Green West,E00021149,E02000865,Tower Hamlets 002
Bethnal Green West,E00021150,E02000865,Tower Hamlets 002
Bethnal Green West,E00021151,E02000865,Tower Hamlets 002
Bethnal Green West,E00021152,E02000868,Tower Hamlets 005
Bethnal Green West,E00021153,E02000868,Tower Hamlets 005
Bethnal Green West,E00021154,E02000868,Tower Hamlets 005
Bethnal Green West,E00021155,E02000868,Tower Hamlets 005
Bethnal Green West,E00021156,E02000865,Tower Hamlets 002
Bethnal Green West,E00021157,E02000865,Tower Hamlets 002
Bethnal Green West,E00021158,E02000865,Tower Hamlets 002
Bethnal Green West,E00021159,E02000868,Tower Hamlets 005
Bethnal Green West,E00021160,E02000868,Tower Hamlets 005
Bethnal Green West,E00021161,E02000868,Tower Hamlets 005
Bethnal Green West,E00021162,E02000865,Tower Hamlets 002
Bethnal Green West,E00021163,E02000868,Tower Hamlets 005
Bethnal Green West,E00021164,E02000868,Tower Hamlets 005
Bethnal Green West,E00021165,E02000865,Tower Hamlets 002
Bethnal Green West,E00021166,E02000868,Tower Hamlets 005
Bethnal Green West,E00021167,E02000868,Tower Hamlets 005
Bethnal Green West,E00021168,E02000868,Tower Hamlets 005
Bethnal Green West,E00021169,E02000868,Tower Hamlets 005
Bethnal Green West,E00021170,E02000865,Tower Hamlets 002
Bethnal Green West,E00021172,E02000865,Tower Hamlets 002
Bethnal Green West,E00021174,E02000868,Tower Hamlets 005
Bethnal Green West,E00021175,E02000865,Tower Hamlets 002
Bethnal Green West,E00021176,E02000865,Tower Hamlets 002
Bethnal Green West,E00021177,E02000868,Tower Hamlets 005
Bethnal Green West,E00021180,E02000876,Tower Hamlets 013
Bethnal Green West,E00021181,E02000876,Tower Hamlets 013
Bethnal Green West,E00021182,E02000876,Tower Hamlets 013
Bethnal Green West,E00021183,E02000876,Tower Hamlets 013
Bethnal Green West,E00021184,E02000874,Tower Hamlets 011
Bethnal Green West,E00021186,E02000876,Tower Hamlets 013
Bethnal Green West,E00021191,E02000876,Tower Hamlets 013
Bethnal Green West,E00021192,E02000876,Tower Hamlets 013
Bethnal Green West,E00021200,E02000874,Tower Hamlets 011
Bethnal Green West,E00021203,E02000874,Tower Hamlets 011
Bethnal Green West,E00021207,E02000876,Tower Hamlets 013
Bethnal Green West,E00021213,E02000876,Tower Hamlets 013
Bethnal Green West,E00021216,E02000876,Tower Hamlets 013
Bethnal Green West,E00167172,E02000865,Tower Hamlets 002
Bethnal Green West,E00167244,E02000865,Tower Hamlets 002
Bethnal Green West,E00167245,E02000868,Tower Hamlets 005
Bethnal Green West,E00183787,E02000865,Tower Hamlets 002
Bethnal Green West,E00183966,E02000865,Tower Hamlets 002
Bethnal Green West,E00183968,E02000874,Tower Hamlets 011
Bethnal Green West,E00183979,E02000874,Tower Hamlets 011
