Ward,New Wards
Bethnal Green,Bethnal Green East
Blackwall & Cubitt Town,Blackwall & Cubitt Town
Bow East,Bow East
Bow West,Bow West
Bromley North,Bromley North
Bromley South,Bromley South
Canary Wharf,Millwall
Island Gardens,Island Gardens
Lansbury,Lansbury
Limehouse,Limehouse
Mile End,Mile End
Poplar,Poplar
Shadwell,Shadwell
Spitalfields & Banglatown,Spitalfields & Banglatown
St Dunstan's,St. Dunstan's
St Katharine's & Wapping,St. Katharine's & Wapping
St Peter's,Bethnal Green West
Stepney Green,Stepney Green
Weavers,Weavers
Whitechapel,Whitechapel
